Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms,TRN
CN-03279,Al Manara Contracting LLC,0599406509,50000,39759.84,Joseph,30 days,182729587951304
CN-03280,Pearl Trading Est,0598380207,10000,11419.88,Mahmoud,Cash,107748566958321
CN-03281,Gulf Real Estate Development,0536068070,50000,AED 19817.26,Khaled,45 days,123871415111324
CN-03282,Reliable Construction Co,0522091836,100000,26949.98,Khaled,90 days,157756863520562
CN-03283,Union Interiors LLC,0539047814,10000,"34,000.42",Khaled,60 days,153011570383162
CN-03284,National Fit-out Co,0542257664,,"24.949,26",Joseph,90 days,
CN-03285,Modern Trading Est,0560647394,,23542.36,Anwar,45 days,138902406475907
CN-03286,Al Reem Maintenance Co,0542573434,,56877.07,Khaled,90 days,165005000105011
CN-03287,Al Manara Interiors LLC,0566607969,25000,AED 53222.00,Rakesh,Cash,171206841508025
CN-03288,Desert Builders LLC,0566790427,100000,51316.98,Khaled,45 days,116520140820434
CN-03289,Al Manara Fit-out Co,0594972083,10000,"18,647.82",Mahmoud,60 days,193444778967185
CN-03290,Prime Builders LLC,0533682198,10000,"6.559,69",Anwar,60 days,159843197577246
CN-03291,Reliable MEP Services,0523528924,100000,13058.11,Rakesh,COD,197873733151994
CN-03292,Oasis Real Estate Development,0524392994,10000,43826.20,Khaled,90 days,101603545630223
CN-03293,Capital Interiors LLC,0574808756,25000,AED 28931.59,Suresh,Cash,146186927449021
CN-03294,Meraas Real Estate Development,0560657030,100000,8233.13,Khaled,90 days,141913571308089
CN-03295,Pearl Trading Est,0536794234,,"31,831.23",Joseph,90 days,136359493825562
CN-03296,Al Manara Construction Co,0562606727,10000,"48.246,17",Joseph,30 days,179281340614682
CN-03297,Desert Trading Est,0574679041,,14353.33,Suresh,30 days,146554975771847
CN-03298,Al Reem Engineering Consultants,0588177872,,7211.60,Mahmoud,COD,126321465051877
CN-03299,Oasis Fit-out Co,0550818210,100000,AED 251.31,Rakesh,Cash,154142446835404
CN-03300,Gulf Engineering Consultants,0561502819,,5906.63,Joseph,60 days,151675746193740
CN-03301,Falcon Fit-out Co,0513060122,10000,"21,749.93",Joseph,Cash,147374301344561
CN-03302,Gulf Maintenance Co,0540798058,25000,"27.782,69",Mahmoud,60 days,183739739614531
CN-03303,Reliable MEP Services,0584082988,100000,47986.67,Anwar,30 days,174904167342323
CN-03304,Modern Contracting LLC,0534201929,100000,50355.18,Anwar,Cash,188679398521476
CN-03305,Gulf Maintenance Co,0565408698,100000,AED 3145.73,Mahmoud,Cash,181777994669284
CN-03306,Gulf MEP Services,0588235775,50000,37652.74,Mahmoud,30 days,109673571529638
CN-03307,Al Reem MEP Services,0519990165,10000,"42,975.13",Suresh,COD,127793773315754
CN-03308,Modern Fit-out Co,0531744062,,"40.272,86",Mahmoud,COD,139088965473220
CN-03309,Union Construction Co,0514218357,50000,2600.50,Khaled,COD,170348249673653
CN-03310,Oasis Builders LLC,0531402178,,29765.92,Rakesh,30 days,177867869491593
CN-03311,Desert MEP Services,0521486576,,AED 8584.16,Joseph,45 days,129228846522599
CN-03312,Al Manara Builders LLC,0589680031,50000,18760.50,Mahmoud,90 days,179618974913225
CN-03313,Modern Engineering Consultants,0562748518,25000,"3,139.13",Anwar,COD,155785276236642
CN-03314,Pearl Real Estate Development,0518806156,100000,"59.387,38",Joseph,Cash,190778217734673
CN-03315,Emirates Interiors LLC,0517022762,10000,38841.06,Anwar,30 days,193716404896280
CN-03316,Pearl MEP Services,0554264683,25000,22545.00,Khaled,Cash,120791589498482
CN-03317,Prime Construction Co,0525823174,,AED 49183.48,Khaled,90 days,175486426154364
CN-03318,Pearl Builders LLC,0533560302,,43933.40,Suresh,60 days,131575557449348
CN-03319,Prime Fit-out Co,0550912723,100000,"52,217.13",Anwar,60 days,100117930760680
CN-03320,Prime Construction Co,0540237763,,"57.110,01",Khaled,90 days,135560942442025
CN-03321,National Engineering Consultants,0587603747,50000,35593.19,Anwar,Cash,139382756197558
CN-03322,Al Reem Builders LLC,0599860914,10000,42066.75,Mahmoud,COD,132759919052979
CN-03323,Emirates Contracting LLC,0563079478,50000,AED 37746.21,Khaled,COD,155342704837334
CN-03324,Desert Contracting LLC,0580086398,100000,49523.31,Suresh,Cash,101358774604517
CN-03325,Marina Contracting LLC,0518321542,10000,"35,904.99",Mahmoud,Cash,158211468473212
CN-03326,Al Reem MEP Services,0574097429,100000,"59.555,71",Rakesh,Cash,179725428711741
CN-03327,Reliable Builders LLC,0546391802,,28849.60,Khaled,45 days,115405719057225
CN-03328,Gulf Construction Co,0515707295,10000,20459.59,Mahmoud,Cash,101476560568916
CN-03329,Prime Real Estate Development,0517722251,50000,AED 2255.62,Anwar,30 days,195254837813021
CN-03330,Meraas Real Estate Development,0511351347,10000,36971.38,Rakesh,90 days,198005967585384
CN-03331,Desert Trading Est,0540433118,25000,"45,163.72",Khaled,90 days,153166998618410
CN-03332,Oasis Interiors LLC,0579038532,,"150,93",Anwar,45 days,158691058285470
CN-03333,Pearl Contracting LLC,0577067630,10000,25277.98,Mahmoud,30 days,168613559654574
CN-03334,Prime Maintenance Co,0519094300,25000,53947.02,Anwar,60 days,140766494100257
CN-03335,Pearl Fit-out Co,0516099772,10000,AED 36777.52,Khaled,45 days,
CN-03336,Capital Engineering Consultants,0583329667,50000,54697.86,Khaled,60 days,115460914317699
CN-03337,National Interiors LLC,0582229212,25000,"57,119.32",Mahmoud,Cash,176773800991328
CN-03338,Al Reem Trading Est,0556157779,10000,"15.853,02",Mahmoud,90 days,156902597545585
CN-03339,Pearl Builders LLC,0587147031,100000,53937.50,Mahmoud,90 days,
CN-03340,Gulf Engineering Consultants,0514714632,50000,6854.84,Anwar,45 days,169912811110416
CN-03341,Al Manara Real Estate Development,0534761641,10000,AED 55785.60,Rakesh,30 days,143500193645608
CN-03342,Modern Interiors LLC,0517899867,100000,8472.64,Rakesh,90 days,188730930450155
CN-03343,Union Contracting LLC,0535237896,25000,"17,140.78",Suresh,90 days,169943690325404
CN-03344,National Builders LLC,0568253353,50000,"25.096,16",Joseph,Cash,192057798345376
CN-03345,National Maintenance Co,0588457477,10000,42825.06,Mahmoud,60 days,199629312269887
CN-03346,Al Manara Trading Est,0573278692,10000,32416.16,Joseph,COD,177986372441169
CN-03347,Meraas Trading Est,0595166228,25000,AED 37112.69,Khaled,45 days,136335922073370
CN-03348,Oasis Real Estate Development,0547878394,100000,31057.56,Khaled,60 days,187017439757219
CN-03349,Pearl MEP Services,0557610971,50000,"59,842.49",Khaled,COD,103065438697525
CN-03350,Capital Fit-out Co,0513528111,,"13.102,72",Suresh,60 days,190947039083979
CN-03351,Prime Engineering Consultants,0597118054,100000,45998.43,Anwar,COD,121326611437900
CN-03352,Reliable Maintenance Co,0565779842,,51740.32,Anwar,90 days,138714371049091
CN-03353,Falcon Builders LLC,0520255832,10000,AED 35387.07,Suresh,90 days,
CN-03354,Pearl Trading Est,0519502605,,48686.54,Anwar,COD,141181898957546
CN-03355,Oasis Construction Co,0521163845,10000,"10,739.03",Rakesh,45 days,173667404972198
CN-03356,Emirates Trading Est,0568022414,,"41.325,72",Rakesh,COD,166819093962895
CN-03357,Desert Construction Co,0510709646,50000,2128.50,Suresh,45 days,185936791455512
CN-03358,Capital Engineering Consultants,0570404598,100000,22613.86,Mahmoud,30 days,171474500450061
CN-03359,Reliable Maintenance Co,0584257386,100000,AED 2378.54,Joseph,90 days,120535510546074
CN-03360,Union Trading Est,0541502902,25000,2155.20,Khaled,90 days,178382247200076
CN-03361,Al Reem Real Estate Development,0516370737,10000,"7,574.07",Khaled,60 days,173261822792657
CN-03362,Prime Construction Co,0588792814,50000,"4.964,96",Rakesh,45 days,190138546871364
CN-03363,Falcon MEP Services,0594633147,25000,32177.86,Joseph,60 days,181846987844196
CN-03364,National Interiors LLC,0584102499,10000,22374.90,Rakesh,Cash,104450076080187
CN-03365,Reliable Real Estate Development,0517947861,25000,AED 30662.55,Rakesh,Cash,194094325245818
CN-03366,Gulf Contracting LLC,0590565793,,59679.77,Anwar,30 days,106939301132343
CN-03367,Marina Trading Est,0589172045,10000,"29,570.23",Rakesh,90 days,144139894472440
CN-03368,National Contracting LLC,0595416231,,"58.637,94",Mahmoud,30 days,151545341056429
CN-03369,Reliable Interiors LLC,0541600945,100000,58957.98,Khaled,COD,138349807419197
CN-03370,Desert Interiors LLC,0575197716,10000,11971.69,Suresh,30 days,199750667235053
CN-03371,Meraas Trading Est,0519087551,,AED 18676.36,Joseph,90 days,150012471201878
CN-03372,National Interiors LLC,0544084797,,59633.05,Rakesh,45 days,120070374773345
CN-03373,Marina MEP Services,0524727238,25000,"1,174.47",Khaled,Cash,156592772175586
CN-03374,Reliable Engineering Consultants,0595105031,100000,"58.064,22",Mahmoud,COD,115178947891194
CN-03375,Reliable Maintenance Co,0514521025,50000,47422.06,Mahmoud,30 days,181883725672385
CN-03376,Prime Interiors LLC,0567570055,25000,25682.85,Mahmoud,COD,101054906467530
CN-03377,Modern Builders LLC,0594360098,10000,AED 30333.92,Mahmoud,COD,
CN-03378,Marina Builders LLC,0557591228,100000,57784.64,Anwar,45 days,171542516493847
CN-03379,Reliable Fit-out Co,0597592507,10000,"14,970.02",Mahmoud,60 days,189201597862932
CN-03380,Marina Trading Est,0556057632,,"7.315,71",Anwar,30 days,103216753645584
CN-03381,National Trading Est,0526519866,10000,6437.22,Joseph,30 days,108658319435264
CN-03382,Prime Contracting LLC,0588004903,100000,14015.12,Anwar,Cash,140953432845559
CN-03383,Pearl Construction Co,0585259200,100000,AED 40475.47,Joseph,30 days,
CN-03384,Emirates Construction Co,0553450962,,20954.52,Joseph,90 days,183432823291311
CN-03385,Gulf Engineering Consultants,0539348929,50000,"13,330.82",Anwar,30 days,187452966236641
CN-03386,Al Reem Builders LLC,0599602483,,"25.412,80",Rakesh,45 days,117998722575600
CN-03387,National Maintenance Co,0589258693,,49407.55,Joseph,90 days,195770188121740
CN-03388,Union Engineering Consultants,0575006498,50000,-,Mahmoud,30 days,136820995631611
CN-03389,Meraas Engineering Consultants,0558027815,50000,AED 11543.47,Joseph,60 days,142541230925608
CN-03390,Falcon Contracting LLC,0589251088,100000,14265.06,Joseph,30 days,173248866339039
CN-03391,Oasis MEP Services,0568185489,50000,"9,869.86",Suresh,45 days,158782773398582
CN-03392,Reliable Interiors LLC,0521787835,10000,"32.358,17",Mahmoud,Cash,
CN-03393,Emirates Trading Est,0525558895,25000,44132.63,Khaled,Cash,174237943912095
CN-03394,Prime MEP Services,0531026600,,8467.66,Joseph,45 days,178350630830873
CN-03395,Al Manara MEP Services,0563249081,25000,AED 10693.92,Joseph,30 days,119681212002144
CN-03396,Desert MEP Services,0531200185,100000,17797.20,Suresh,45 days,
CN-03397,Gulf Engineering Consultants,0597247408,100000,"23,971.44",Joseph,90 days,159195669746965
CN-03398,Desert MEP Services,0518420846,10000,"50.453,43",Anwar,60 days,198829021592349
CN-03399,Al Reem Contracting LLC,0589452109,25000,32325.79,Suresh,60 days,135334957480815
CN-03400,Meraas Contracting LLC,0580036000,,42540.17,Rakesh,Cash,104582024663057
CN-03401,Falcon Contracting LLC,0592307579,10000,AED 31165.41,Mahmoud,COD,174946673928675
CN-03402,Modern Interiors LLC,0568420111,25000,14310.41,Khaled,90 days,107616598282191
CN-03403,Falcon Trading Est,0536368876,50000,"56,701.14",Mahmoud,Cash,132325352251775
CN-03404,Modern Real Estate Development,0510238002,25000,"33.325,47",Khaled,COD,
CN-03405,Meraas Builders LLC,0581997387,25000,8167.65,Khaled,45 days,124847611140284
CN-03406,Meraas MEP Services,0517873143,25000,12628.66,Joseph,60 days,118501005622766
CN-03407,Meraas Construction Co,0549317079,100000,AED 4870.47,Anwar,90 days,179801358019879
CN-03408,Gulf Interiors LLC,0525319471,25000,35505.62,Joseph,45 days,176122037880446
CN-03409,Desert Engineering Consultants,0566949917,25000,"19,438.25",Anwar,90 days,154878330839953
CN-03410,Reliable MEP Services,0563906913,25000,"42.355,02",Suresh,Cash,121948203422954
CN-03411,Capital Maintenance Co,0598497666,25000,53069.63,Joseph,Cash,172503233726843
CN-03412,Meraas MEP Services,0538502087,50000,13568.26,Joseph,60 days,112484995913158
CN-03413,Capital Trading Est,0522018184,10000,AED 59754.20,Mahmoud,COD,135686631281844
CN-03414,Marina Engineering Consultants,0519541325,100000,11683.77,Khaled,Cash,155209602626224
CN-03415,Gulf Engineering Consultants,0564953045,10000,"42,868.57",Anwar,30 days,105460573630377
CN-03416,Al Reem Contracting LLC,0519452811,,"43.066,87",Joseph,Cash,170153367357998
CN-03417,Reliable Fit-out Co,0576007122,50000,34343.64,Joseph,60 days,185937626434790
CN-03418,Al Manara MEP Services,0557749937,100000,54856.76,Suresh,Cash,114047737525218
CN-03419,National Fit-out Co,0583441800,,AED 51213.30,Mahmoud,Cash,195244664321343
CN-03420,Desert Real Estate Development,0542457425,50000,43271.90,Anwar,60 days,106956157808078
CN-03421,Al Manara Real Estate Development,0526128069,10000,"39,809.21",Khaled,Cash,131528624664083
CN-03422,Emirates Engineering Consultants,0590458802,10000,"23.098,23",Anwar,45 days,182078230586156
CN-03423,Al Reem Builders LLC,0597743376,25000,29442.55,Mahmoud,COD,191406437388200
CN-03424,Al Reem Engineering Consultants,0540526725,10000,59113.78,Rakesh,45 days,
CN-03425,Meraas Engineering Consultants,0512401461,,AED 28265.07,Anwar,90 days,154135657187227
CN-03426,Desert Fit-out Co,0580350915,25000,36952.30,Joseph,45 days,174682962432092
CN-03427,Marina Maintenance Co,0591733371,25000,"10,330.81",Joseph,45 days,197235136469135
CN-03428,Modern MEP Services,0566643666,,"49.270,76",Mahmoud,90 days,179013998606600
CN-03429,Falcon MEP Services,0566788640,10000,19097.77,Rakesh,COD,122982059836940
CN-03430,Reliable MEP Services,0599660648,,41000.87,Khaled,90 days,151806348906392
CN-03431,Oasis Maintenance Co,0534131230,100000,AED 47384.91,Joseph,30 days,197133348067257
CN-03432,Pearl Fit-out Co,0521405702,25000,35313.03,Anwar,COD,
CN-03433,Emirates Contracting LLC,0522729052,,"47,293.08",Khaled,60 days,142493029632810
CN-03434,National Fit-out Co,0559870174,50000,"22.797,60",Mahmoud,60 days,115747458235637
CN-03435,Meraas Engineering Consultants,0556747218,50000,15689.07,Rakesh,COD,174192132031758
CN-03436,Modern Interiors LLC,0569082066,100000,30343.64,Mahmoud,30 days,160254646499806
CN-03437,Meraas MEP Services,0536288445,100000,AED 51713.71,Khaled,90 days,103941171466138
CN-03438,Marina Fit-out Co,0574438248,10000,751.94,Anwar,COD,117990458989819
CN-03439,Prime MEP Services,0525325991,100000,"55,842.19",Suresh,30 days,126652451638799
CN-03440,Gulf Fit-out Co,0546826291,100000,"24.813,67",Mahmoud,45 days,157581482911064
CN-03441,Gulf Construction Co,0511777698,25000,39116.84,Rakesh,30 days,162498383984091
CN-03442,National Maintenance Co,0574567012,,2556.54,Suresh,30 days,165071307272666
CN-03443,National Trading Est,0598964297,,AED 26251.38,Joseph,30 days,170069368068033
CN-03444,Emirates Maintenance Co,0599888434,10000,14319.62,Mahmoud,COD,107390257635956
CN-03445,Reliable Builders LLC,0527144387,,"29,153.87",Joseph,COD,190564452551152
CN-03446,Al Manara MEP Services,0584424436,,"15.395,02",Anwar,COD,143280679922193
CN-03447,Marina Builders LLC,0523027743,,10389.00,Anwar,COD,110170905033179
CN-03448,National Trading Est,0568331878,100000,39320.21,Mahmoud,Cash,138867748982982
CN-03449,Emirates Construction Co,0551971619,,AED 24592.86,Mahmoud,60 days,169703150514544
CN-03450,Prime Construction Co,0597398130,10000,40714.06,Suresh,COD,169707086511977
CN-03451,National Maintenance Co,0584671731,25000,"52,839.51",Suresh,Cash,146264591818834
CN-03452,National Fit-out Co,0540633958,25000,"33.663,80",Suresh,90 days,144160338782954
CN-03453,Falcon Real Estate Development,0519208189,100000,6371.13,Joseph,60 days,152663617237542
CN-03454,Meraas Real Estate Development,0545134632,50000,32489.80,Anwar,30 days,131953989021928
CN-03455,Meraas Fit-out Co,0527285806,,AED 4957.43,Mahmoud,COD,130916650656211
CN-03456,Capital Real Estate Development,0591087855,10000,12917.47,Anwar,60 days,139832244670780
CN-03457,National Construction Co,0595961806,100000,"41,212.41",Khaled,45 days,170679614265004
CN-03458,Union Fit-out Co,0516551553,,"36.355,96",Joseph,Cash,184040677019155
CN-03459,Marina Real Estate Development,0576108006,100000,12332.58,Rakesh,COD,193941041986804
CN-03460,Prime Engineering Consultants,0528474516,25000,51996.33,Anwar,Cash,155124625499290
CN-03461,Emirates Fit-out Co,0572221925,,AED 41039.07,Joseph,45 days,124645536550440
CN-03462,National Builders LLC,0556728310,100000,29399.87,Mahmoud,45 days,185628038323136
CN-03463,Capital Trading Est,0560691519,50000,"45,387.96",Joseph,COD,102757114282475
CN-03464,Emirates Construction Co,0567945314,100000,"22.964,78",Suresh,45 days,146835388413820
CN-03465,Reliable Fit-out Co,0578331072,25000,46874.40,Joseph,45 days,142766005301015
CN-03466,Marina Fit-out Co,0520267295,25000,18163.62,Mahmoud,45 days,145875195949023
CN-03467,Pearl MEP Services,0548808535,50000,AED 55386.12,Anwar,COD,153205391482608
CN-03468,Modern Contracting LLC,0596408681,100000,28853.92,Mahmoud,30 days,
CN-03469,Modern MEP Services,0579278420,,"2,949.20",Anwar,90 days,131706689947124
CN-03470,Falcon Trading Est,0557881888,50000,"19.919,47",Khaled,90 days,142121600206708
CN-03471,Al Manara Construction Co,0539120731,10000,1055.87,Rakesh,45 days,181028130156655
CN-03472,Meraas MEP Services,0581519033,,34443.38,Anwar,COD,193712943520461
CN-03473,Capital Fit-out Co,0560228992,10000,AED 54675.45,Anwar,45 days,137948224901733
CN-03474,Prime Engineering Consultants,0549748762,25000,36548.43,Khaled,COD,114425289268854
CN-03475,Meraas Construction Co,0568716407,,"31,436.93",Khaled,60 days,105493713157338
CN-03476,Marina Fit-out Co,0587967181,,"56.873,41",Suresh,45 days,109222005213023
CN-03477,Emirates Engineering Consultants,0527346413,,46034.12,Rakesh,30 days,143864389481405
CN-03478,Capital Contracting LLC,0548536955,25000,39571.35,Suresh,60 days,182438238165293
CN-03479,Union Contracting LLC,0557862174,50000,AED 6174.05,Khaled,45 days,135047891869526
CN-03480,Marina Builders LLC,0563779635,25000,56387.82,Khaled,90 days,165782875618614
CN-03481,Meraas MEP Services,0547822250,50000,"23,887.04",Suresh,30 days,100821132531149
CN-03482,National Contracting LLC,0515133808,10000,"22.735,41",Joseph,45 days,116261660660269
CN-03483,Modern Interiors LLC,0511715774,100000,12336.62,Suresh,30 days,118180505738769
CN-03484,Emirates Construction Co,0556170269,25000,38009.71,Mahmoud,90 days,
CN-03485,Al Reem Engineering Consultants,0522978825,25000,AED 21723.66,Joseph,45 days,127477789156209
CN-03486,Desert Builders LLC,0580708331,,42347.43,Khaled,60 days,198741430197484
CN-03487,Union MEP Services,0559268238,100000,"36,308.96",Rakesh,45 days,119556415669682
CN-03488,National Fit-out Co,0542656957,50000,"30.499,98",Joseph,45 days,123567650586248
CN-03489,Marina Contracting LLC,0546281972,25000,9759.96,Rakesh,90 days,139666028558562
CN-03490,Meraas Interiors LLC,0571154267,10000,55823.79,Rakesh,90 days,172653466040310
CN-03491,Oasis Fit-out Co,0555375667,50000,AED 40089.78,Anwar,COD,161896770236565
CN-03492,Pearl Construction Co,0563526931,25000,45558.07,Joseph,45 days,199749924439010
CN-03493,Falcon Interiors LLC,0556253408,25000,"27,335.58",Khaled,90 days,147098732796217
CN-03494,Meraas Fit-out Co,0535492648,10000,"24.106,09",Mahmoud,Cash,156255569576231
CN-03495,Oasis Interiors LLC,0572997155,10000,31800.80,Khaled,Cash,146962397410078
CN-03496,Desert Trading Est,0537439428,,46801.02,Suresh,90 days,130104513163438
CN-03497,Al Reem Construction Co,0537890510,,AED 44599.87,Joseph,COD,
CN-03498,Meraas MEP Services,0594021318,50000,46110.43,Rakesh,60 days,148915199966990
CN-03499,Oasis Real Estate Development,0532353196,50000,"14,827.61",Joseph,90 days,112980177310366
CN-03500,Falcon Fit-out Co,0555427069,25000,"39.118,64",Suresh,45 days,147338451621468
CN-03501,National Contracting LLC,0573949879,25000,49063.06,Anwar,90 days,144167520243407
CN-03502,Modern Construction Co,0570100071,50000,8471.48,Rakesh,COD,111387869311434
CN-03503,Union Trading Est,0513266689,50000,AED 10027.61,Joseph,Cash,114926842266421
CN-03504,Pearl Maintenance Co,0573824297,25000,45976.31,Rakesh,90 days,124962930079612
CN-03505,Emirates Interiors LLC,0579641698,,"46,734.97",Anwar,90 days,115503108695636
CN-03506,Al Reem Contracting LLC,0572457298,25000,"42.423,34",Rakesh,60 days,169598633924723
CN-03507,Capital MEP Services,0584432324,,57135.93,Khaled,30 days,185325696666599
CN-03508,Reliable Real Estate Development,0521162383,,26572.33,Joseph,90 days,107432325504839
CN-03509,Emirates Maintenance Co,0532640514,50000,AED 30890.08,Rakesh,30 days,167336607538247
CN-03510,Union Maintenance Co,0596016638,50000,16750.26,Khaled,COD,134783212477010
CN-03511,Capital Fit-out Co,0558142519,25000,"43,030.75",Mahmoud,COD,150296474349140
CN-03512,Al Manara Construction Co,0541191479,100000,"47.448,53",Joseph,45 days,110839302127087
CN-03513,Falcon MEP Services,0570705243,50000,15854.20,Anwar,Cash,113758940498918
CN-03514,Union Trading Est,0529562285,25000,29426.83,Joseph,45 days,187184487466130
CN-03515,Desert Construction Co,0533597085,50000,AED 47045.48,Khaled,45 days,172379006987352
CN-03516,Pearl Interiors LLC,0527848764,10000,58481.52,Anwar,Cash,109506103381796
CN-03517,Desert Maintenance Co,0559410907,,"46,679.36",Khaled,45 days,174036452118944
CN-03518,Meraas Interiors LLC,0570392568,10000,"52.034,96",Khaled,Cash,141329308096421
CN-03519,Desert Real Estate Development,0569941259,10000,42304.03,Mahmoud,30 days,
CN-03520,Prime Real Estate Development,0549467917,100000,20754.11,Anwar,30 days,159895667544953
CN-03521,Gulf MEP Services,0588038175,10000,AED 22487.83,Joseph,COD,153973347744716
CN-03522,Oasis Trading Est,0581311441,25000,23909.66,Mahmoud,Cash,140647384284692
CN-03523,Al Reem Builders LLC,0585114841,50000,"47,207.27",Suresh,60 days,111113459590362
CN-03524,Falcon Contracting LLC,0517000740,100000,"26.826,88",Suresh,30 days,113462048418612
CN-03525,National Construction Co,0531639277,50000,14717.34,Suresh,45 days,113350738053870
CN-03526,National Builders LLC,0552692055,,8708.23,Rakesh,30 days,137938968181581
CN-03527,Al Reem Real Estate Development,0537282577,10000,AED 45005.12,Mahmoud,90 days,197631601362496
CN-03528,Desert Engineering Consultants,0516685594,10000,4152.98,Khaled,COD,176443678144933
CN-03529,Gulf Interiors LLC,0520459983,25000,"47,930.58",Joseph,60 days,
CN-03530,Oasis Builders LLC,0523054661,25000,"22.767,24",Rakesh,60 days,158639403551779
CN-03531,Meraas MEP Services,0544820955,50000,8072.71,Suresh,90 days,149224620508008
CN-03532,Falcon Fit-out Co,0523274641,10000,9951.37,Suresh,COD,171735268868578
CN-03533,Capital Builders LLC,0589324332,100000,AED 52220.84,Suresh,60 days,
CN-03534,Reliable Interiors LLC,0581044280,25000,38361.34,Khaled,90 days,188124208688404
CN-03535,Al Reem Maintenance Co,0523108348,10000,"16,551.84",Rakesh,COD,144409861807968
CN-03536,Falcon Engineering Consultants,0561397918,25000,"53.465,27",Joseph,60 days,130395872597017
CN-03537,Marina Interiors LLC,0515834290,100000,27980.45,Joseph,60 days,135581227730539
CN-03538,Prime Builders LLC,0516772837,100000,13485.15,Anwar,COD,185996815940657
CN-03539,Union Maintenance Co,0511923988,25000,AED 37409.75,Khaled,45 days,129130503412731
CN-03540,Meraas Real Estate Development,0524969813,100000,23639.57,Anwar,Cash,136417368278784
CN-03541,Prime Builders LLC,0560366818,10000,"58,732.38",Mahmoud,60 days,164463541728478
CN-03542,Capital Construction Co,0536316532,100000,"42.777,76",Suresh,45 days,195122407058099
CN-03543,Al Manara Contracting LLC,0582384707,25000,6880.95,Anwar,45 days,196261817404095
CN-03544,Gulf Engineering Consultants,0568699943,,44940.66,Suresh,Cash,
CN-03545,Pearl Construction Co,0595869636,,AED 44239.04,Suresh,30 days,118116689943202
CN-03546,Emirates Interiors LLC,0569089843,50000,9112.41,Joseph,90 days,189780440932250
CN-03547,Union Fit-out Co,0593911106,,"14,359.73",Anwar,90 days,152854939158609
CN-03548,Gulf Engineering Consultants,0515932711,50000,"36.284,54",Joseph,Cash,130617750239713
CN-03549,Al Reem Interiors LLC,0588753955,100000,2137.35,Rakesh,COD,125441111784469
CN-03550,Desert Maintenance Co,0576751349,,22929.40,Suresh,Cash,142126049618509
CN-03551,Pearl Interiors LLC,0530581082,25000,AED 36327.67,Joseph,90 days,
CN-03552,Prime Interiors LLC,0576984263,100000,25264.67,Joseph,45 days,141241193860486
CN-03553,Al Manara Contracting LLC,0524027745,,"7,004.62",Khaled,60 days,172827004854139
CN-03554,Al Manara MEP Services,0554431714,10000,"56.595,14",Rakesh,45 days,192342902660612
CN-03555,Union Fit-out Co,0589736193,100000,1883.24,Joseph,COD,165446802418691
CN-03556,Meraas Real Estate Development,0574974735,10000,32538.43,Joseph,COD,160759861308437
CN-03557,Meraas Maintenance Co,0596850132,25000,AED 50692.03,Mahmoud,COD,143812771789335
CN-03558,National Real Estate Development,0518395846,100000,58914.20,Anwar,COD,161157050301755
CN-03559,National Contracting LLC,0528310215,,"28,565.44",Mahmoud,60 days,101089622072954
CN-03560,Al Reem Fit-out Co,0572349206,100000,"14.378,09",Mahmoud,45 days,121513328906462
CN-03561,Al Manara Real Estate Development,0589565940,50000,41910.27,Suresh,30 days,152553067794926
CN-03562,Falcon MEP Services,0590665511,50000,6000.18,Khaled,45 days,146443904936553
CN-03563,Desert Trading Est,0561393576,50000,AED 45796.27,Mahmoud,90 days,195360944995574
CN-03564,Oasis Builders LLC,0523727116,10000,32522.22,Khaled,45 days,142405766787527
CN-03565,Emirates MEP Services,0559756203,100000,"9,171.31",Khaled,90 days,179903614060436
CN-03566,Al Manara Builders LLC,0598860888,25000,"29.329,25",Rakesh,90 days,148878633522198
CN-03567,Reliable Trading Est,0591064712,50000,45297.02,Anwar,30 days,104586830864739
CN-03568,Emirates Engineering Consultants,0554461765,50000,5930.83,Rakesh,60 days,148471502420298
CN-03569,Marina Construction Co,0586498278,100000,AED 13906.52,Suresh,90 days,149268539358528
CN-03570,Modern Fit-out Co,0575319330,,31538.05,Anwar,45 days,104623990937585
CN-03571,National Engineering Consultants,0520888745,50000,"54,580.08",Joseph,45 days,149117635217581
CN-03572,Marina Engineering Consultants,0567858207,25000,"32.695,64",Rakesh,30 days,171768298901620
CN-03573,Marina MEP Services,0534838032,,29640.25,Rakesh,Cash,175667198608862
CN-03574,Reliable Engineering Consultants,0515821060,10000,5822.19,Joseph,30 days,179441241815942
CN-03575,Al Manara Contracting LLC,0539412762,100000,AED 39746.58,Joseph,45 days,130415436360432
CN-03576,Emirates Engineering Consultants,0570349469,50000,12188.90,Rakesh,COD,182197659132106
CN-03577,Emirates Contracting LLC,0556847300,25000,"2,794.52",Anwar,COD,190990416940417
CN-03578,Al Manara Real Estate Development,0522678608,10000,"22.283,32",Joseph,60 days,164638112478268
CN-03579,Falcon MEP Services,0585918681,25000,13356.49,Mahmoud,COD,146301343562056
CN-03580,Al Reem Interiors LLC,0523386714,10000,30887.48,Khaled,COD,110318620497489
CN-03581,Modern Engineering Consultants,0597091573,,AED 3982.56,Anwar,90 days,180726215617382
CN-03582,Capital Contracting LLC,0582715402,,50242.55,Anwar,60 days,176998109126169
CN-03583,Modern Engineering Consultants,0591948681,10000,"22,706.28",Suresh,60 days,190761658413256
CN-03584,Desert Fit-out Co,0568064235,50000,"37.231,03",Mahmoud,COD,152668688578261
