Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms
CN-03365,Reliable Trading Est,61690100,10000,KWD 3649.57,Anwar,90 days
CN-03366,Oasis Engineering,59495288,1000,1839.35,Suresh,30 days
CN-03367,Desert Maintenance Co,56747652,1000,"2,771.20",Anwar,COD
CN-03368,Al Manar Real Estate,53041448,1000,"1.289,62",Khaled,Cash
CN-03369,Capital Builders,93232583,1000,1575.02,Anwar,COD
CN-03370,Marina Interiors,59396133,5000,3620.15,Suresh,Cash
CN-03371,Desert MEP Services,65977912,2500,KWD 1202.73,Joseph,30 days
CN-03372,Prime Trading Est,67096262,5000,2832.72,Mahmoud,COD
CN-03373,National Maintenance Co,61724906,10000,"3,910.89",Anwar,COD
CN-03374,Kazma Construction,97113599,,"3.177,65",Rakesh,COD
CN-03375,Al Manar MEP Services,68236977,1000,2014.58,Anwar,45 days
CN-03376,Al Manar Contracting Co,52695944,,3141.81,Joseph,45 days
CN-03377,Sabah Workshop,69414967,2500,KWD 2434.44,Joseph,30 days
CN-03378,Marina Interiors,53972573,5000,3768.82,Joseph,60 days
CN-03379,Prime Construction,64804955,5000,"3,971.96",Suresh,Cash
CN-03380,Salmi Workshop,93556052,10000,"169,81",Khaled,60 days
CN-03381,Burgan Trading Est,69411810,1000,3226.15,Mahmoud,COD
CN-03382,United Trading Est,62528194,2500,2764.70,Rakesh,60 days
CN-03383,Salmi MEP Services,66239833,5000,KWD 3156.22,Rakesh,45 days
CN-03384,Falcon Interiors,51410349,1000,2139.28,Suresh,COD
CN-03385,Fahad Builders,57769266,,819.41,Suresh,COD
CN-03386,Mubarak Trading Est,68426301,1000,"3.408,65",Mahmoud,COD
CN-03387,Oasis MEP Services,56927659,10000,1638.06,Joseph,90 days
CN-03388,Desert Interiors,54214222,2500,3466.38,Anwar,60 days
CN-03389,Capital Interiors,65394488,5000,KWD 3770.12,Joseph,30 days
CN-03390,Oasis Interiors,91395666,10000,2814.65,Anwar,90 days
CN-03391,Falcon Trading Est,63682224,2500,"1,763.38",Khaled,30 days
CN-03392,Marina Builders,91880021,2500,"3.293,57",Suresh,COD
CN-03393,Al Manar Construction,63781472,5000,1755.55,Mahmoud,Cash
CN-03394,Falcon Workshop,98714390,10000,372.21,Khaled,45 days
CN-03395,National Real Estate,64459261,2500,KWD 2531.61,Mahmoud,60 days
CN-03396,Al Rai Maintenance Co,51633980,5000,1182.64,Anwar,90 days
CN-03397,Mubarak Trading Est,98910294,2500,"1,427.10",Suresh,COD
CN-03398,National Contracting Co,55504163,10000,"1.452,20",Anwar,45 days
CN-03399,Gulf Maintenance Co,57387259,,3710.70,Rakesh,COD
CN-03400,Oasis Trading Est,91519327,1000,2708.00,Joseph,30 days
CN-03401,Salmi Trading Est,56552119,5000,KWD 992.64,Joseph,90 days
CN-03402,Sabah Engineering,68153192,10000,3271.59,Anwar,90 days
CN-03403,Sabah Real Estate,53843915,2500,"1,140.47",Rakesh,45 days
CN-03404,Capital Interiors,97012761,5000,"3.461,03",Rakesh,45 days
CN-03405,Prime Engineering,58839182,5000,1197.97,Joseph,COD
CN-03406,Pearl Workshop,51241649,5000,2809.11,Suresh,30 days
CN-03407,Reliable Interiors,91013591,,KWD 2208.63,Khaled,60 days
CN-03408,Salmi MEP Services,91991283,10000,1627.16,Mahmoud,Cash
CN-03409,Salmi Contracting Co,95782409,2500,"3,720.12",Suresh,Cash
CN-03410,Falcon Interiors,69004160,5000,"1.714,37",Anwar,60 days
CN-03411,National Interiors,59833319,2500,3865.43,Anwar,45 days
CN-03412,Pearl Contracting Co,95403243,10000,-,Mahmoud,COD
CN-03413,United Trading Est,51202322,10000,KWD 1171.82,Khaled,60 days
CN-03414,Capital Engineering,91080454,10000,1373.43,Rakesh,COD
CN-03415,Burgan Interiors,63460246,,"3,170.98",Rakesh,45 days
CN-03416,Fahad Trading Est,56159865,10000,"611,69",Anwar,45 days
CN-03417,Mubarak Engineering,57709224,1000,3590.82,Rakesh,30 days
CN-03418,Pearl Builders,65002225,,2075.24,Suresh,45 days
CN-03419,Marina Workshop,93570833,2500,KWD 1029.04,Joseph,COD
CN-03420,Desert Maintenance Co,97684552,1000,98.17,Joseph,COD
CN-03421,Sabah Contracting Co,68070328,,"1,806.94",Anwar,30 days
CN-03422,Kazma Contracting Co,96773672,10000,"2.056,72",Mahmoud,45 days
CN-03423,Burgan Engineering,99313938,1000,374.36,Joseph,30 days
CN-03424,United Trading Est,55772234,1000,-,Rakesh,60 days
CN-03425,Al Manar Construction,52514613,5000,KWD 1502.92,Rakesh,60 days
CN-03426,Sabah MEP Services,61170739,1000,3574.80,Rakesh,30 days
CN-03427,Salmi Real Estate,95620315,5000,"3,313.38",Joseph,45 days
CN-03428,Pearl MEP Services,94343851,10000,"188,84",Mahmoud,60 days
CN-03429,Salmi Contracting Co,98902250,10000,493.63,Suresh,45 days
CN-03430,Pearl MEP Services,55090746,,3512.84,Khaled,60 days
CN-03431,National Interiors,65343803,2500,KWD 1881.71,Anwar,45 days
CN-03432,Al Manar Construction,59055029,,758.86,Rakesh,45 days
CN-03433,Kazma Real Estate,63690873,5000,"1,993.39",Khaled,30 days
CN-03434,Modern Contracting Co,54459430,1000,"248,42",Mahmoud,90 days
CN-03435,Modern Trading Est,66480370,10000,2900.42,Anwar,90 days
CN-03436,Burgan Maintenance Co,59113087,2500,3175.67,Anwar,COD
CN-03437,Modern Trading Est,93267878,1000,KWD 2677.76,Anwar,COD
CN-03438,Salmi Interiors,59353031,,706.31,Suresh,60 days
CN-03439,Fahad Interiors,97289818,1000,27.06,Anwar,30 days
CN-03440,Reliable Contracting Co,91843565,,"152,52",Anwar,90 days
CN-03441,Capital Workshop,58010404,10000,2217.20,Anwar,30 days
CN-03442,Marina Contracting Co,61545089,10000,2891.72,Joseph,60 days
CN-03443,Al Rai Real Estate,92418030,10000,KWD 1710.08,Suresh,Cash
CN-03444,Falcon Contracting Co,62221057,10000,3787.63,Suresh,Cash
CN-03445,United Contracting Co,92898446,1000,"3,685.21",Rakesh,COD
CN-03446,Marina Maintenance Co,91699589,10000,"1.798,55",Joseph,Cash
CN-03447,United MEP Services,56189908,,3155.24,Anwar,90 days
CN-03448,Falcon MEP Services,69983270,10000,1763.36,Joseph,90 days
CN-03449,Fahad Contracting Co,64905032,5000,KWD 1165.38,Mahmoud,60 days
CN-03450,Mubarak Interiors,68478569,,3786.58,Rakesh,COD
CN-03451,Salmi Workshop,64334209,2500,"1,444.28",Anwar,45 days
CN-03452,Fahad Construction,53875919,1000,"3.180,37",Joseph,Cash
CN-03453,Kazma Trading Est,52826629,,3462.84,Mahmoud,COD
CN-03454,National MEP Services,95784200,10000,3817.00,Suresh,60 days
CN-03455,Oasis Interiors,99013821,5000,KWD 3733.49,Joseph,30 days
CN-03456,Kazma Builders,69899355,5000,3986.06,Joseph,60 days
CN-03457,Al Rai MEP Services,62816146,2500,"2,680.78",Joseph,60 days
CN-03458,Reliable Trading Est,68450622,,"3.079,66",Suresh,COD
CN-03459,National Trading Est,67233188,1000,3135.10,Khaled,30 days
CN-03460,Gulf Construction,95334573,5000,335.15,Suresh,90 days
CN-03461,Fahad Real Estate,66822725,10000,KWD 557.15,Joseph,30 days
CN-03462,Reliable Contracting Co,63212562,10000,3948.63,Mahmoud,Cash
CN-03463,Salmi Trading Est,94184593,5000,"3,196.14",Joseph,Cash
CN-03464,Kazma Workshop,64891303,1000,"1.291,25",Khaled,90 days
CN-03465,Fahad Workshop,59093208,10000,2896.25,Joseph,60 days
CN-03466,Sabah Builders,69031543,1000,512.30,Rakesh,90 days
CN-03467,Burgan Engineering,68897445,,KWD 2648.40,Rakesh,30 days
CN-03468,Capital Maintenance Co,93533002,5000,1431.17,Anwar,Cash
CN-03469,Capital MEP Services,52559563,1000,809.74,Anwar,60 days
CN-03470,Falcon Real Estate,66126389,,"3.394,69",Suresh,45 days
CN-03471,Sabah Construction,56171807,10000,523.86,Anwar,COD
CN-03472,Reliable Real Estate,55086123,,3845.17,Suresh,30 days
CN-03473,National Maintenance Co,95667780,10000,KWD 3609.73,Mahmoud,Cash
CN-03474,Al Rai Real Estate,57990825,1000,581.52,Joseph,Cash
CN-03475,Al Rai Real Estate,68627569,2500,"1,884.10",Mahmoud,60 days
CN-03476,Modern Builders,95748979,5000,"2.797,86",Anwar,60 days
CN-03477,Reliable Interiors,63730540,10000,1761.01,Mahmoud,Cash
CN-03478,Burgan Construction,53259932,,3495.35,Rakesh,30 days
CN-03479,Mubarak Workshop,61458710,10000,KWD 3623.14,Rakesh,Cash
CN-03480,Fahad Engineering,69796579,1000,555.98,Mahmoud,90 days
CN-03481,Al Rai Contracting Co,63963548,1000,"2,232.12",Joseph,30 days
CN-03482,Falcon Real Estate,61793220,5000,"1.826,72",Rakesh,45 days
CN-03483,Burgan Trading Est,53405292,2500,216.36,Anwar,COD
CN-03484,Kazma Workshop,53715909,10000,-,Mahmoud,30 days
CN-03485,Al Manar Interiors,67213008,2500,KWD 2964.11,Suresh,30 days
CN-03486,Oasis Trading Est,64341546,10000,1850.69,Suresh,30 days
CN-03487,Burgan Builders,58600324,5000,"2,318.09",Anwar,45 days
CN-03488,Reliable Workshop,51017409,1000,"3.729,40",Mahmoud,30 days
CN-03489,United Construction,69108373,1000,1783.08,Suresh,COD
CN-03490,United Maintenance Co,98157529,1000,760.27,Anwar,30 days
CN-03491,Reliable Builders,56020224,,KWD 1105.52,Joseph,COD
CN-03492,Gulf Real Estate,61837872,2500,446.12,Anwar,30 days
CN-03493,Falcon Engineering,93724515,1000,"1,677.09",Joseph,Cash
CN-03494,Prime Construction,64025645,10000,"1.576,01",Joseph,60 days
CN-03495,Pearl Builders,94413640,,592.25,Joseph,Cash
CN-03496,Modern MEP Services,57989603,1000,-,Khaled,45 days
CN-03497,Salmi Maintenance Co,69903084,1000,KWD 1791.08,Joseph,45 days
CN-03498,Burgan Construction,51577828,,130.89,Joseph,45 days
CN-03499,Pearl Builders,67709987,5000,"2,368.70",Rakesh,90 days
CN-03500,Modern Maintenance Co,99183912,10000,"2.077,21",Anwar,30 days
CN-03501,Modern MEP Services,58057502,2500,2021.51,Joseph,COD
CN-03502,Prime Trading Est,57098474,10000,733.08,Joseph,60 days
CN-03503,Reliable Engineering,66553134,5000,KWD 1971.82,Joseph,45 days
CN-03504,Falcon Construction,67726665,1000,1971.81,Suresh,90 days
CN-03505,National Trading Est,69493814,10000,480.40,Rakesh,90 days
CN-03506,Al Manar Workshop,56547639,,"655,28",Joseph,45 days
CN-03507,Sabah Construction,99800627,,3282.13,Khaled,COD
CN-03508,Al Rai Trading Est,98720004,2500,1007.83,Joseph,30 days
CN-03509,Sabah Real Estate,91907046,5000,KWD 777.04,Suresh,90 days
CN-03510,Salmi Engineering,52773654,5000,2375.16,Suresh,COD
CN-03511,Salmi Construction,66781977,2500,186.56,Mahmoud,30 days
CN-03512,Prime Interiors,99718452,2500,"3.713,97",Anwar,30 days
CN-03513,Burgan MEP Services,64284229,2500,2423.00,Joseph,60 days
CN-03514,Kazma Real Estate,57588262,10000,3250.34,Joseph,Cash
CN-03515,Burgan MEP Services,64096223,1000,KWD 3736.19,Suresh,60 days
CN-03516,Falcon Workshop,53178544,2500,2212.99,Rakesh,30 days
CN-03517,Kazma Real Estate,63017350,5000,381.54,Mahmoud,45 days
CN-03518,Capital Real Estate,51506522,,"3.501,95",Anwar,90 days
CN-03519,Prime Trading Est,65568726,1000,3224.33,Anwar,60 days
CN-03520,Desert Real Estate,63533071,2500,1576.06,Anwar,60 days
CN-03521,Al Rai Construction,97770080,1000,KWD 1077.20,Suresh,COD
CN-03522,Pearl Interiors,55795734,5000,3000.45,Anwar,60 days
CN-03523,Mubarak Engineering,52545711,1000,"3,002.14",Rakesh,60 days
CN-03524,Reliable Builders,93694921,,"1.350,78",Khaled,30 days
CN-03525,Reliable Trading Est,56475247,1000,1950.37,Joseph,60 days
CN-03526,Fahad Builders,59727756,2500,1773.46,Khaled,90 days
CN-03527,United Real Estate,94441430,,KWD 2367.74,Rakesh,Cash
CN-03528,Kazma Trading Est,96691376,10000,1973.32,Suresh,60 days
CN-03529,Oasis Real Estate,51307209,10000,"1,653.31",Anwar,Cash
CN-03530,Sabah Workshop,62508288,10000,"1.230,79",Anwar,90 days
CN-03531,Kazma Construction,56759684,,3994.01,Suresh,30 days
CN-03532,Desert Builders,93611504,2500,249.81,Anwar,COD
CN-03533,Reliable Interiors,57040372,2500,KWD 2660.24,Joseph,COD
CN-03534,Burgan Engineering,94702468,10000,1217.01,Anwar,COD
CN-03535,Capital Workshop,55209770,,"2,947.32",Mahmoud,COD
CN-03536,Desert Builders,63395447,5000,"2.098,29",Rakesh,60 days
CN-03537,Fahad Real Estate,91575099,1000,2615.72,Joseph,30 days
CN-03538,Prime Contracting Co,96738542,,514.90,Anwar,Cash
CN-03539,Burgan Interiors,57655760,2500,KWD 1820.93,Khaled,Cash
CN-03540,Burgan Builders,94004558,10000,1455.60,Khaled,90 days
CN-03541,Prime Contracting Co,64050426,10000,9.44,Suresh,Cash
CN-03542,Marina Maintenance Co,65433693,2500,"226,40",Khaled,30 days
CN-03543,Gulf Real Estate,58979624,5000,801.63,Rakesh,COD
CN-03544,Sabah Trading Est,95495454,5000,841.49,Joseph,COD
CN-03545,Oasis Contracting Co,96298349,1000,KWD 513.03,Anwar,Cash
CN-03546,Salmi Interiors,96294536,2500,770.84,Suresh,45 days
CN-03547,Desert Maintenance Co,58981663,5000,"3,707.87",Joseph,60 days
CN-03548,Reliable Builders,95987041,5000,"1.683,08",Suresh,30 days
CN-03549,Oasis Engineering,55968105,1000,1424.06,Khaled,Cash
CN-03550,United Maintenance Co,69045433,,1034.56,Khaled,30 days
CN-03551,Sabah Contracting Co,68011742,1000,KWD 1110.05,Joseph,Cash
CN-03552,Kazma Construction,64097318,2500,3420.66,Mahmoud,COD
CN-03553,United Real Estate,55344383,10000,"1,658.18",Anwar,90 days
CN-03554,Capital Maintenance Co,57552793,5000,"83,43",Joseph,30 days
CN-03555,United Maintenance Co,68150398,1000,3376.06,Mahmoud,90 days
CN-03556,Sabah Builders,98767899,2500,2527.76,Joseph,30 days
CN-03557,Capital Builders,54870671,5000,KWD 2068.82,Joseph,30 days
CN-03558,Fahad Interiors,56217997,2500,2281.78,Mahmoud,45 days
CN-03559,Falcon Maintenance Co,53205839,10000,"1,342.21",Khaled,Cash
CN-03560,Pearl Contracting Co,98593279,5000,"2.752,32",Mahmoud,90 days
CN-03561,Oasis Engineering,53488157,5000,3989.07,Joseph,45 days
CN-03562,Oasis Builders,59210813,,3860.54,Khaled,COD
CN-03563,Fahad Construction,63042126,2500,KWD 344.06,Suresh,COD
CN-03564,Mubarak Builders,52329004,1000,3822.87,Anwar,30 days
CN-03565,Desert Construction,58597749,,"2,032.71",Suresh,45 days
CN-03566,Gulf Contracting Co,66878301,5000,"3.921,61",Khaled,30 days
CN-03567,Falcon MEP Services,65769603,10000,19.79,Khaled,60 days
CN-03568,Reliable Maintenance Co,97046658,5000,-,Anwar,60 days
CN-03569,Desert MEP Services,64098592,,KWD 660.39,Anwar,90 days
CN-03570,Modern Construction,98527827,,1654.32,Rakesh,Cash
CN-03571,Gulf MEP Services,68068697,2500,913.54,Khaled,Cash
CN-03572,Modern Construction,64078447,1000,"3.068,51",Rakesh,45 days
CN-03573,Burgan Engineering,61011768,10000,155.65,Khaled,90 days
CN-03574,Marina Trading Est,52056392,,2422.96,Rakesh,45 days
CN-03575,Mubarak Builders,63730572,2500,KWD 296.45,Joseph,45 days
CN-03576,National Construction,58992244,5000,3993.47,Anwar,30 days
CN-03577,Fahad Real Estate,65519646,10000,"2,137.76",Anwar,45 days
CN-03578,Fahad Interiors,65362810,2500,"2.256,16",Joseph,Cash
CN-03579,National Real Estate,54401087,5000,1495.42,Rakesh,45 days
CN-03580,Oasis Real Estate,65905152,1000,3438.18,Joseph,COD
CN-03581,Falcon Construction,61978188,1000,KWD 893.99,Anwar,Cash
CN-03582,Pearl Real Estate,56289002,5000,1108.55,Anwar,60 days
CN-03583,Kazma Maintenance Co,58007566,5000,"1,808.04",Mahmoud,45 days
CN-03584,Sabah Interiors,57081426,10000,"1.207,13",Suresh,30 days
CN-03585,Desert MEP Services,58382002,10000,1709.68,Khaled,30 days
CN-03586,Fahad Maintenance Co,64302918,,2527.29,Suresh,COD
CN-03587,Al Manar MEP Services,99773359,2500,KWD 1002.22,Joseph,30 days
CN-03588,Fahad Engineering,91750084,5000,625.65,Khaled,60 days
CN-03589,Prime Workshop,94368964,10000,"3,869.42",Mahmoud,Cash
CN-03590,Al Manar Maintenance Co,98028560,5000,"1.529,47",Rakesh,60 days
CN-03591,Burgan Trading Est,52424338,,293.41,Joseph,COD
CN-03592,Gulf Real Estate,55852544,1000,861.97,Joseph,45 days
CN-03593,Oasis Workshop,91832891,1000,KWD 47.65,Suresh,60 days
CN-03594,Al Manar Construction,95956462,5000,1614.64,Anwar,Cash
CN-03595,Kazma Engineering,52202832,1000,"1,359.59",Khaled,60 days
CN-03596,Kazma Interiors,98075763,,"936,91",Suresh,45 days
CN-03597,Mubarak Interiors,56691920,,3086.19,Rakesh,60 days
CN-03598,United Interiors,69822109,,3868.42,Anwar,60 days
CN-03599,Modern Builders,96096978,5000,KWD 3887.82,Mahmoud,30 days
CN-03600,United MEP Services,95388256,2500,3309.22,Rakesh,60 days
CN-03601,Falcon Maintenance Co,68677539,1000,"2,832.81",Rakesh,30 days
CN-03602,United Construction,98497760,5000,"57,25",Anwar,30 days
CN-03603,Salmi Real Estate,59884689,2500,2328.62,Anwar,90 days
CN-03604,Desert Maintenance Co,58439369,5000,-,Anwar,60 days
CN-03605,National Maintenance Co,53700693,1000,KWD 2939.29,Khaled,45 days
CN-03606,Marina MEP Services,61546972,5000,3918.51,Rakesh,60 days
CN-03607,National Builders,63734924,10000,"2,850.88",Anwar,90 days
CN-03608,Burgan Engineering,57151908,,"2.619,81",Khaled,90 days
CN-03609,Burgan MEP Services,61565592,,2576.90,Joseph,60 days
CN-03610,Al Manar Construction,63844251,,972.21,Rakesh,COD
CN-03611,Burgan MEP Services,66766755,5000,KWD 3601.44,Suresh,45 days
CN-03612,Marina Builders,95634525,1000,1928.58,Anwar,Cash
CN-03613,Al Manar MEP Services,69095934,5000,702.37,Rakesh,60 days
CN-03614,Kazma Engineering,95770762,,"527,43",Joseph,90 days
CN-03615,Fahad Real Estate,52627901,1000,1463.94,Khaled,30 days
CN-03616,Prime MEP Services,61026782,2500,3543.60,Suresh,90 days
CN-03617,Kazma MEP Services,51038054,1000,KWD 2799.21,Anwar,90 days
CN-03618,Capital Real Estate,94241129,10000,1377.21,Suresh,60 days
CN-03619,Oasis MEP Services,67936626,5000,"3,960.93",Anwar,Cash
CN-03620,Oasis Builders,92572217,,"2.157,24",Khaled,Cash
CN-03621,Sabah Contracting Co,58095266,,2612.89,Mahmoud,COD
CN-03622,Prime Real Estate,68908060,2500,3488.10,Mahmoud,COD
CN-03623,Oasis Maintenance Co,55365312,2500,KWD 3078.33,Suresh,COD
CN-03624,Desert Contracting Co,65829826,,1413.18,Mahmoud,90 days
CN-03625,United Workshop,59000702,2500,"3,340.87",Mahmoud,Cash
CN-03626,Falcon Real Estate,68359997,5000,"3.372,94",Mahmoud,30 days
CN-03627,Oasis Construction,52714335,5000,3951.61,Mahmoud,60 days
CN-03628,Modern Engineering,57757397,2500,1977.40,Anwar,COD
CN-03629,Modern Engineering,69150231,2500,KWD 1148.94,Rakesh,Cash
CN-03630,Gulf Builders,95757839,10000,2446.50,Anwar,45 days
CN-03631,Al Rai Construction,64075324,1000,"1,534.49",Joseph,Cash
CN-03632,Desert Workshop,68997775,,"3.956,36",Mahmoud,60 days
CN-03633,Marina Construction,51804856,1000,3607.16,Anwar,45 days
CN-03634,Marina MEP Services,93169044,2500,3887.76,Joseph,Cash
CN-03635,Sabah Workshop,51026440,1000,KWD 930.67,Mahmoud,90 days
CN-03636,Salmi Construction,52745955,2500,12.83,Rakesh,45 days
CN-03637,Oasis Interiors,99736342,5000,"1,732.59",Anwar,COD
CN-03638,Marina Real Estate,55766656,1000,"1.290,64",Joseph,Cash
CN-03639,Fahad MEP Services,95207263,10000,1764.39,Rakesh,Cash
CN-03640,Modern Trading Est,94507044,,3794.76,Suresh,30 days
CN-03641,Al Rai Workshop,93804365,5000,KWD 1262.87,Anwar,45 days
CN-03642,Prime Construction,62567699,5000,475.09,Suresh,60 days
CN-03643,Al Manar Builders,61051398,5000,211.18,Suresh,COD
CN-03644,Salmi Workshop,56954944,,"2.582,17",Anwar,90 days
CN-03645,Prime Builders,66464871,1000,872.20,Suresh,60 days
CN-03646,National Builders,61285037,,1987.10,Suresh,60 days
CN-03647,Fahad Maintenance Co,59857826,,KWD 1498.98,Rakesh,90 days
CN-03648,Sabah Workshop,97387697,10000,2142.91,Suresh,COD
CN-03649,Pearl Real Estate,63227328,,"2,811.07",Rakesh,Cash
CN-03650,Al Manar Construction,66097450,,"357,27",Anwar,90 days
CN-03651,Kazma Maintenance Co,57479102,2500,1392.47,Khaled,60 days
CN-03652,Prime MEP Services,55361530,10000,3555.98,Mahmoud,90 days
CN-03653,Prime Maintenance Co,92484392,2500,KWD 292.02,Khaled,30 days
CN-03654,Mubarak Trading Est,63822173,2500,1197.50,Khaled,Cash
CN-03655,Burgan Maintenance Co,57957716,2500,"2,481.98",Rakesh,30 days
CN-03656,Falcon Interiors,62416608,1000,"1.622,90",Anwar,60 days
CN-03657,Kazma Engineering,64818160,1000,66.57,Mahmoud,60 days
CN-03658,Marina Real Estate,95054734,,-,Mahmoud,30 days
CN-03659,Kazma Engineering,55210745,1000,KWD 3220.62,Rakesh,COD
CN-03660,Mubarak Builders,93871947,1000,1168.01,Rakesh,COD
CN-03661,Gulf Real Estate,64629860,10000,221.40,Khaled,30 days
CN-03662,Burgan Construction,58218150,,"2.986,85",Rakesh,30 days
CN-03663,Prime MEP Services,61998694,10000,1124.33,Mahmoud,COD
CN-03664,Falcon Trading Est,68232213,2500,2967.99,Khaled,45 days
CN-03665,Mubarak Builders,64433534,2500,KWD 376.58,Mahmoud,45 days
CN-03666,Al Rai Interiors,54190280,,1166.60,Mahmoud,Cash
CN-03667,Capital MEP Services,52874147,,"3,353.58",Suresh,COD
CN-03668,Capital MEP Services,94103744,,"3.769,66",Khaled,60 days
CN-03669,National Engineering,59208717,2500,2479.10,Joseph,Cash
CN-03670,Prime Engineering,65311004,,3610.87,Suresh,Cash
CN-03671,Marina Contracting Co,53264314,5000,KWD 1445.24,Anwar,30 days
CN-03672,National Real Estate,91253946,2500,1551.85,Mahmoud,90 days
CN-03673,Marina Engineering,94874053,5000,"2,620.67",Mahmoud,45 days
CN-03674,Burgan Contracting Co,54081448,10000,"3.961,78",Rakesh,COD
CN-03675,Oasis Builders,94097101,,358.59,Anwar,90 days
CN-03676,Desert Engineering,51221919,1000,2250.55,Khaled,Cash
CN-03677,Salmi Workshop,95195484,5000,KWD 1197.52,Mahmoud,90 days
CN-03678,Gulf Contracting Co,57710867,10000,810.64,Suresh,Cash
CN-03679,Oasis Real Estate,55878722,2500,"1,022.21",Suresh,45 days
CN-03680,Al Rai Workshop,51240666,5000,"3.653,26",Suresh,Cash
CN-03681,Kazma Engineering,58177046,1000,3160.64,Khaled,Cash
CN-03682,Marina MEP Services,53743708,10000,532.11,Joseph,30 days
CN-03683,Fahad Real Estate,52665849,1000,KWD 2712.30,Suresh,COD
CN-03684,Kazma Maintenance Co,96791919,10000,1579.84,Joseph,30 days
CN-03685,Desert Interiors,69883279,2500,"2,764.48",Mahmoud,Cash
CN-03686,Salmi Interiors,62075334,2500,"1.226,55",Anwar,60 days
CN-03687,Fahad Maintenance Co,64630239,1000,1377.95,Joseph,60 days
CN-03688,Modern Maintenance Co,56777663,2500,558.22,Rakesh,COD
CN-03689,Falcon Workshop,96398546,5000,KWD 1195.92,Anwar,COD
CN-03690,Al Rai Construction,54128819,2500,3374.31,Khaled,60 days
CN-03691,Marina Builders,98132843,2500,136.30,Suresh,60 days
CN-03692,Falcon Interiors,64532744,1000,"1.751,69",Rakesh,30 days
CN-03693,Burgan Real Estate,57148668,1000,1736.40,Khaled,COD
CN-03694,United Contracting Co,66021798,10000,3031.89,Mahmoud,60 days
CN-03695,United Workshop,94310145,1000,KWD 75.31,Anwar,45 days
CN-03696,United Workshop,58924643,10000,2740.59,Mahmoud,COD
CN-03697,Falcon MEP Services,93702297,,"3,841.31",Joseph,COD
CN-03698,Reliable Trading Est,91334683,1000,"467,73",Anwar,90 days
CN-03699,Al Rai Workshop,68124407,1000,2312.34,Khaled,COD
CN-03700,Pearl Construction,51990548,,1937.19,Khaled,COD
CN-03701,Modern Workshop,61829610,10000,KWD 3198.38,Suresh,COD
CN-03702,Gulf Trading Est,65790874,1000,3022.25,Anwar,COD
CN-03703,Desert Trading Est,54382807,5000,616.96,Joseph,30 days
CN-03704,Sabah Maintenance Co,67892501,,"128,04",Rakesh,30 days
CN-03705,Burgan Contracting Co,52985896,10000,3389.65,Joseph,Cash
CN-03706,Salmi Builders,61242095,10000,1710.19,Rakesh,45 days
CN-03707,Al Rai Interiors,91797306,,KWD 2927.68,Mahmoud,30 days
CN-03708,Fahad MEP Services,54999981,10000,2874.82,Khaled,Cash
CN-03709,Modern Workshop,57425543,,997.69,Rakesh,90 days
CN-03710,Al Rai Contracting Co,67479743,1000,"3.962,93",Suresh,60 days
CN-03711,Al Rai Interiors,97297486,5000,620.19,Khaled,Cash
CN-03712,United Engineering,56701897,1000,842.38,Mahmoud,COD
CN-03713,Gulf Workshop,99345952,5000,KWD 3634.82,Rakesh,45 days
CN-03714,Oasis Engineering,95799585,,2439.29,Rakesh,60 days
CN-03715,Prime Real Estate,57633328,2500,"2,144.04",Rakesh,90 days
CN-03716,Pearl MEP Services,57114308,10000,"1.990,66",Anwar,45 days
CN-03717,Capital Workshop,91824980,2500,1007.81,Joseph,Cash
CN-03718,Modern Maintenance Co,63035361,10000,835.99,Anwar,60 days
CN-03719,Gulf Engineering,57066823,,KWD 1926.79,Mahmoud,60 days
CN-03720,Kazma Builders,99527711,10000,2290.40,Suresh,COD
CN-03721,Prime Interiors,56572536,2500,337.91,Mahmoud,45 days
CN-03722,United Maintenance Co,63350769,,"3.939,60",Suresh,60 days
CN-03723,Mubarak Trading Est,51599925,1000,762.42,Anwar,60 days
CN-03724,Al Rai Engineering,51635051,,2680.98,Mahmoud,30 days
CN-03725,Salmi MEP Services,97237775,,KWD 3592.71,Joseph,30 days
CN-03726,Gulf Maintenance Co,55891524,10000,2937.86,Rakesh,30 days
CN-03727,Gulf Contracting Co,63706074,10000,"1,609.27",Suresh,45 days
CN-03728,Pearl Construction,61578837,5000,"413,12",Suresh,45 days
CN-03729,Reliable Workshop,92025546,1000,1391.86,Suresh,90 days
CN-03730,Gulf Construction,97142359,5000,3015.72,Rakesh,60 days
CN-03731,Salmi Workshop,65185903,1000,KWD 3363.14,Suresh,90 days
CN-03732,Salmi Construction,68679433,5000,2226.12,Suresh,60 days
CN-03733,Sabah Maintenance Co,62681940,2500,"3,318.37",Anwar,30 days
CN-03734,Marina Interiors,67670305,10000,"1.468,81",Joseph,90 days
CN-03735,Al Manar Builders,92230980,10000,2319.84,Suresh,COD
CN-03736,Modern Contracting Co,97934649,1000,1289.88,Joseph,60 days
CN-03737,Al Rai Construction,91862470,1000,KWD 3952.20,Anwar,Cash
CN-03738,Salmi Real Estate,93513546,,1262.63,Rakesh,45 days
CN-03739,Mubarak Real Estate,67677200,5000,"2,942.14",Anwar,45 days
CN-03740,United Engineering,66528006,5000,"426,55",Suresh,60 days
CN-03741,Gulf Maintenance Co,66873956,,1089.38,Anwar,45 days
